out/kratos/kratos-16-8096-dist	967808	32408	75908	135.788	75.804	59.983	135.463	0.071
out/kratos/kratos-16-clustering	481664	16408	38359	38.112	24.974	13.138	38.016	0.01
out/kratos/kratos-16-dist	481008	16408	38359	35.635	20.329	15.307	35.55	0.017
out/kratos/kratos-16-rr	480192	16408	38388	38.026	24.894	13.131	37.911	0.03
out/kratos/kratos-1-8192-dist	673040	32408	0	864.094	861.057	3.037	863.313	0.004
out/kratos/kratos-1-clustering	337168	16408	0	237.175	235.693	1.481	236.943	0.002
out/kratos/kratos-1-distance	338640	16408	0	231.942	230.623	1.319	231.722	0.001
out/kratos/kratos-1-rr	338544	16408	0	230.933	229.589	1.344	230.71	0.001
out/kratos/kratos-2-8096-dist	860576	32408	332721	543.196	507.207	35.989	542.464	0.004
out/kratos/kratos-2-clustering	426080	16408	168332	129.584	119.679	9.904	129.427	0.001
out/kratos/kratos-2-dist	427648	16408	167976	141.097	129.398	11.699	140.934	0.001
out/kratos/kratos-2-rr	428496	16408	168203	139.105	127.265	11.841	138.93	0.011
out/kratos/kratos-4-8096-dist	945552	32408	245285	325.345	272.548	52.797	324.896	0.044
out/kratos/kratos-4-clustering	461600	16408	124034	83.851	66.949	16.901	83.725	0.061
out/kratos/kratos-4-dist	460992	16408	123828	91.14	76.441	14.7	91.013	0.003
out/kratos/kratos-4-rr	460368	16408	124116	90.718	76.348	14.371	90.585	0.015
out/kratos/kratos-8-1024-128-100	122043	4120	1437545	49.78	35.237	14.543	49.743	0.011
out/kratos/kratos-8-8096-dist	967104	32408	141811	187.442	141.216	46.226	186.937	0.103
out/kratos/kratos-8-clustering	473200	16408	71852	53.683	36.502	17.181	53.578	0.02
out/kratos/kratos-8-dist	474384	16408	71705	48.765	36.318	12.447	48.637	0.004
out/kratos/kratos-8-rr	473664	16408	71797	61.486	47.704	13.782	61.371	0.002
out/bluegene/stdout-1024-1024-1024-1-clustering-181315	132758	4116	1024	101.451	0.61	100.84	100.173	1.274
out/bluegene/stdout--1024-1024-1-181306	262012	8212	2027	196.873	2.43	194.443	196.715	0.152
out/bluegene/stdout--1024-1024-1-181307	197486	6164	2637	54.263	2.722	51.541	51.162	3.095
out/bluegene/stdout--1024-1024-1-181308	165407	5140	4023	54.239	3.768	50.471	52.71	1.528
out/bluegene/stdout--1024-1024-1-181309	148071	4628	6970	43.484	6.069	37.416	42.893	0.591
out/bluegene/stdout-1024-4096-1024-1-clustering-181321	523728	16404	4040	424.931	9.712	415.219	424.432	0.491
out/bluegene/stdout-128-1024-1024-1-clustering-181318	131977	4116	7212	33.556	4.819	28.736	33.48	0.075
out/bluegene/stdout-128-181263	13160	532	11937	62.009	0.247	61.762	60.927	1.004
out/bluegene/stdout-128-4096-1024-1-clustering-181324	524899	16404	30486	401.774	72.832	328.941	401.752	0.021
out/bluegene/stdout-128-4096-1024-1-clustering-181333	524647	16404	30535	317.23	73.031	244.199	316.977	0.252
out/bluegene/stdout-128-8192-512-1-clustering-181337	1049537	32788	31087	404.448	135.185	269.263	403.808	0.637
out/bluegene/stdout-256-1024-1024-1-clustering-181317	131877	4116	3739	34.034	2.429	31.606	33.827	0.206
out/bluegene/stdout-256-11264-512-1-clustering-181351	1443709	45076	21658	469.184	133.878	335.306	465.873	3.294
out/bluegene/stdout-256-4096-1024-1-clustering-181323	524665	16404	15800	234.647	37.771	196.876	234.582	0.064
out/bluegene/stdout-256-4096-1024-1-clustering-181332	524663	16404	15808	199.709	37.863	161.846	199.397	0.307
out/bluegene/stdout-256-8192-512-1-clustering-181336	1049199	32788	15799	316.239	72.833	243.407	312.114	4.123
out/bluegene/stdout-32-181276	123282	4116	345362	497.383	235.068	262.315	495.5	1.855
out/bluegene/stdout--4096--10-181303	526096	16468	36420	142.93	49.181	93.75	142.808	0.052
out/bluegene/stdout-512-1024-1024-1-clustering-181316	130526	4116	1955	33.12	1.219	31.9	30.259	2.859
out/bluegene/stdout-512-11264-512-1-clustering-181350	1441840	45076	10970	407.76	70.25	337.51	404.094	3.654
out/bluegene/stdout-512-4096-1024-1-clustering-181322	524528	16404	8004	182.492	19.196	163.297	182.076	0.413
out/bluegene/stdout-512-4096-1024-1-clustering-181331	524365	16404	7985	153.537	19.229	134.308	151.914	1.615
out/bluegene/stdout-512-8192-512-1-clustering-181335	1049003	32788	8018	278.432	37.745	240.687	276.9	1.529
out/bluegene/stdout-64-8192-512-1-clustering-181338	1050450	32788	61539	491.246	228.874	262.372	491.123	0.115
out/bluegene/stdout-8-64-64-100-181298	2815	308	11781	5.445	2.248	3.197	4.547	0.886
